parameter,dimension,mean,mode,median,hpd_min,hpd_max,mass_fraction,atc_ngml,carbon,temp
empirical_F,6,-2.3124835230056497,-2.4130934557010244,-2.3110636069127164,-2.7672070355402605,-1.8665381075138883,0.95,1.0,glucose,37
empirical_F,7,-2.8783179162253427,-3.033168940469584,-2.8665863518695636,-3.2973865895967163,-2.492337829526104,0.95,2.0,glucose,37
empirical_F,8,-3.4858935488475566,-3.3841292319318352,-3.466248211016783,-3.936372260882244,-2.963498999716719,0.95,3.0,glucose,37
empirical_F,9,-3.6225236335777096,-3.6398456996763966,-3.6011130409324155,-3.9598500008295643,-3.3820948333084506,0.95,4.0,glucose,37
empirical_F,10,-3.6391993775970035,-3.5176330239558182,-3.6359267320597164,-3.9754576722862667,-3.277896350018494,0.95,7.0,glucose,37
empirical_F,11,-3.750958521031236,-3.52324538569154,-3.6932408697052175,-4.400344359912392,-3.294586184218943,0.95,10.0,glucose,37
fc_mu,1,0.4348741115560626,0.47812746890408353,0.4369107219076352,0.2595764605281319,0.5854926848241568,0.95,1.0,glucose,42
fc_mu,2,0.2289593985219011,0.255595147031347,0.2292676847369105,0.09916130832610659,0.37084450158165716,0.95,2.0,glucose,42
fc_mu,3,0.12094876275884885,0.16207731507023826,0.12043084195903436,0.029791246452622544,0.20895981258861807,0.95,3.0,glucose,42
fc_mu,4,0.07707452252476753,0.07576122974026933,0.07689636947731299,0.030499277999598173,0.12198251581759101,0.95,4.0,glucose,42
fc_mu,5,0.039709601361036274,0.04132040335344156,0.038743858719622715,0.016288190805370806,0.06125285343955278,0.95,7.0,glucose,42
fc_mu,6,0.03362439092925034,0.03483065140514785,0.03368738750022843,0.024565847306059818,0.043511842052051275,0.95,10.0,glucose,42
fc_sigma,1,0.20846490780429708,0.16868348876535827,0.20414440092335048,0.13297910088685322,0.28839927876196614,0.95,1.0,glucose,42
fc_sigma,2,0.16633798405674732,0.17790991241610674,0.16137189161921242,0.09866806463236626,0.2418758847953781,0.95,2.0,glucose,42
fc_sigma,3,0.12838525176798535,0.13268729596231515,0.12320531418669298,0.07433333600675016,0.19513836298824122,0.95,3.0,glucose,42
fc_sigma,4,0.0499098431096857,0.04009870752198091,0.04482095683685164,0.019727355039271696,0.09110171364185994,0.95,4.0,glucose,42
